Anno di censimento;Eta;Genere;Numerosita
1881;0;Donne;3333
1881;1;Donne;3027
1881;2;Donne;3142
1881;3;Donne;3065
1881;4;Donne;2930
1881;5;Donne;2961
1881;6;Donne;2816
1881;7;Donne;2568
1881;8;Donne;2399
1881;9;Donne;2432
1881;10;Donne;2262
1881;11;Donne;2447
1881;12;Donne;2454
1881;13;Donne;2386
1881;14;Donne;2590
1881;15;Donne;2668
1881;16;Donne;2680
1881;17;Donne;2725
1881;18;Donne;2909
1881;19;Donne;2733
1881;20;Donne;2745
1881;21;Donne;2798
1881;22;Donne;3086
1881;23;Donne;2777
1881;24;Donne;3025
1881;25;Donne;3126
1881;26;Donne;2946
1881;27;Donne;2902
1881;28;Donne;2817
1881;29;Donne;2839
1881;30;Donne;2834
1881;31;Donne;2686
1881;32;Donne;2367
1881;33;Donne;3223
1881;34;Donne;2418
1881;35;Donne;2592
1881;36;Donne;2574
1881;37;Donne;2595
1881;38;Donne;2416
1881;39;Donne;2280
1881;40;Donne;2500
1881;41;Donne;2352
1881;42;Donne;2079
1881;43;Donne;2095
1881;44;Donne;1805
1881;45;Donne;2426
1881;46;Donne;1813
1881;47;Donne;1840
1881;48;Donne;1737
1881;49;Donne;1450
1881;50;Donne;1934
1881;51;Donne;1694
1881;52;Donne;1570
1881;53;Donne;1466
1881;54;Donne;1412
1881;55;Donne;1511
1881;56;Donne;1319
1881;57;Donne;1243
1881;58;Donne;1061
1881;59;Donne;1109
1881;60;Donne;1420
1881;61;Donne;1247
1881;62;Donne;976
1881;63;Donne;892
1881;64;Donne;984
1881;65;Donne;905
1881;66;Donne;774
1881;67;Donne;700
1881;68;Donne;709
1881;69;Donne;627
1881;70;Donne;707
1881;71;Donne;583
1881;72;Donne;493
1881;73;Donne;475
1881;74;Donne;394
1881;75;Donne;383
1881;76;Donne;335
1881;77;Donne;273
1881;78;Donne;200
1881;79;Donne;156
1881;80;Donne;140
1881;81;Donne;115
1881;82;Donne;56
1881;83;Donne;49
1881;84;Donne;54
1881;85;Donne;26
1881;86;Donne;25
1881;87;Donne;13
1881;88;Donne;14
1881;89;Donne;13
1881;90;Donne;14
1881;91;Donne;7
1881;92;Donne;2
1881;93;Donne;1
1881;94;Donne;1
1881;95;Donne;2
1881;96;Donne;1
1881;97;Donne;0
1881;98;Donne;0
1881;99;Donne;1
1881;100 e più;Donne;0
1881;0;Uomini;3369
1881;1;Uomini;3041
1881;2;Uomini;3114
1881;3;Uomini;3057
1881;4;Uomini;2882
1881;5;Uomini;2791
1881;6;Uomini;2809
1881;7;Uomini;2397
1881;8;Uomini;2386
1881;9;Uomini;2302
1881;10;Uomini;2286
1881;11;Uomini;2427
1881;12;Uomini;2522
1881;13;Uomini;2579
1881;14;Uomini;2763
1881;15;Uomini;2939
1881;16;Uomini;2886
1881;17;Uomini;3028
1881;18;Uomini;3066
1881;19;Uomini;2815
1881;20;Uomini;2965
1881;21;Uomini;4364
1881;22;Uomini;4518
1881;23;Uomini;3284
1881;24;Uomini;3453
1881;25;Uomini;3108
1881;26;Uomini;3270
1881;27;Uomini;2765
1881;28;Uomini;2875
1881;29;Uomini;2851
1881;30;Uomini;2980
1881;31;Uomini;2844
1881;32;Uomini;2421
1881;33;Uomini;2649
1881;34;Uomini;2348
1881;35;Uomini;2561
1881;36;Uomini;2611
1881;37;Uomini;2568
1881;38;Uomini;2514
1881;39;Uomini;2374
1881;40;Uomini;2431
1881;41;Uomini;2413
1881;42;Uomini;2109
1881;43;Uomini;2109
1881;44;Uomini;1934
1881;45;Uomini;2186
1881;46;Uomini;1972
1881;47;Uomini;1932
1881;48;Uomini;1802
1881;49;Uomini;1646
1881;50;Uomini;1921
1881;51;Uomini;1732
1881;52;Uomini;1561
1881;53;Uomini;1575
1881;54;Uomini;1444
1881;55;Uomini;1440
1881;56;Uomini;1411
1881;57;Uomini;1318
1881;58;Uomini;1117
1881;59;Uomini;1177
1881;60;Uomini;1308
1881;61;Uomini;1122
1881;62;Uomini;1088
1881;63;Uomini;899
1881;64;Uomini;902
1881;65;Uomini;820
1881;66;Uomini;734
1881;67;Uomini;698
1881;68;Uomini;607
1881;69;Uomini;584
1881;70;Uomini;596
1881;71;Uomini;498
1881;72;Uomini;448
1881;73;Uomini;426
1881;74;Uomini;352
1881;75;Uomini;309
1881;76;Uomini;241
1881;77;Uomini;204
1881;78;Uomini;148
1881;79;Uomini;143
1881;80;Uomini;113
1881;81;Uomini;94
1881;82;Uomini;47
1881;83;Uomini;35
1881;84;Uomini;34
1881;85;Uomini;13
1881;86;Uomini;16
1881;87;Uomini;16
1881;88;Uomini;11
1881;89;Uomini;5
1881;90;Uomini;8
1881;91;Uomini;2
1881;92;Uomini;1
1881;93;Uomini;0
1881;94;Uomini;0
1881;95;Uomini;0
1881;96;Uomini;1
1881;97;Uomini;0
1881;98;Uomini;1
1881;99;Uomini;0
1881;100 e più;Uomini;0
1901;0;Donne;5323
1901;1;Donne;4865
1901;2;Donne;4457
1901;3;Donne;4242
1901;4;Donne;4313
1901;5;Donne;4097
1901;6;Donne;4068
1901;7;Donne;4094
1901;8;Donne;4000
1901;9;Donne;4076
1901;10;Donne;4311
1901;11;Donne;4415
1901;12;Donne;4464
1901;13;Donne;4317
1901;14;Donne;4366
1901;15;Donne;4366
1901;16;Donne;4622
1901;17;Donne;4622
1901;18;Donne;4824
1901;19;Donne;4779
1901;20;Donne;4729
1901;21;Donne;4753
1901;22;Donne;4848
